name,price,description,image,qty,category_id
Kadabra - 84/165 - CGC 8 NM/Mint - Uncommon (Expedition) 0206,45.00,Kadabra - 84/165 - CGC 8 NM/Mint - Uncommon (Expedition) 0206,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1737703.jpg,3,2
Pikachu (Japanese) - 054/049,249.99,Pikachu (Japanese) - 054/049 - PSA GEM MT 10 - Full Art (SM11b) 6311,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1686723.jpg,2,2
Dark Alakazam - 18/82,89.99,Dark Alakazam - 18/82 - CGC 9 Mint - Rare 1st Edition (Team Rocket) 7083,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1737580.jpg,6,2
Dark Charizard - No. 006 - PSA 9 MINT,349.99,Dark Charizard - No. 006 - PSA 9 MINT - Holo Japanese (Team Rocket Japanese) 6631,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1748232.jpg,1,2
Sword & Shield Evolving Skies Booster Box,259.99,Sword & Shield Evolving Skies Booster Box (Pokemon) Pokemon Sealed Product,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1721739.jpg,5,1
Sword & Shield Charizard Ultra Premium Collection Box,126.99,Sword & Shield Charizard Ultra Premium Collection Box (Pokemon) Pokemon Sealed Product,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1757172.jpg,3,1
Sun & Moon Hidden Fates Elite Trainer Box,154.89,Sun & Moon Hidden Fates Elite Trainer Box (Pokemon) Pokemon Sealed Product,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1520967.jpg,7,1
Champion's Path Elite Trainer Box,109.94,Champion's Path Elite Trainer Box (Pokemon) Pokemon Sealed Product,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1672319.jpg,9,1
Umbreon VMAX - 215/203,649.98,Umbreon VMAX - 215/203 - Alternate Art Secret Rare Sword & Shield: Evolving Skies Singles,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1728703.jpg,1,3
Rayquaza VMAX - 218/203,439.99,Rayquaza VMAX - 218/203 - Alternate Art Secret Rare Sword & Shield: Evolving Skies Singles,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1728706.jpg,1,3
Glaceon VMAX - 209/203,209.99,Glaceon VMAX - 209/203 - Alternate Art Secret Rare Sword & Shield: Evolving Skies Singles,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1728697.jpg,1,3
Leafeon VMAX - 205/203,199.99,Leafeon VMAX - 205/203 - Alternate Art Secret Rare Sword & Shield: Evolving Skies Singles,https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1728693.jpg,1,3